iter	Passed	Remaining
0	15	15901
1	31	15656
2	46	15355
3	60	15093
4	76	15177
5	91	15173
6	110	15667
7	130	16131
8	145	16054
9	160	15841
10	178	16020
11	193	15900
12	207	15738
13	221	15571
14	235	15451
15	250	15429
16	265	15370
17	282	15392
18	297	15352
19	312	15299
20	326	15238
21	343	15253
22	357	15193
23	372	15155
24	387	15093
25	401	15029
26	416	15012
27	433	15055
28	449	15044
29	464	15025
30	480	15011
31	495	14994
32	511	14992
33	529	15031
34	546	15063
35	563	15101
36	582	15151
37	601	15218
38	617	15207
39	631	15153
40	645	15106
41	660	15056
42	675	15023
43	691	15017
44	707	15008
45	722	14994
46	737	14955
47	755	14987
48	776	15079
49	796	15138
50	812	15118
51	838	15282
52	860	15376
53	879	15408
54	900	15469
55	915	15436
56	930	15401
57	948	15406
58	965	15403
59	984	15425
60	1001	15413
61	1017	15392
62	1033	15364
63	1049	15354
64	1065	15320
65	1079	15275
66	1094	15235
67	1110	15220
68	1126	15202
69	1142	15174
70	1157	15147
71	1172	15117
72	1189	15103
73	1205	15090
74	1221	15065
75	1236	15034
76	1252	15012
77	1268	14992
78	1283	14967
79	1299	14945
80	1316	14933
81	1330	14898
82	1346	14872
83	1360	14840
84	1375	14803
85	1389	14768
86	1404	14737
87	1420	14726
88	1437	14715
89	1452	14687
90	1466	14649
91	1481	14620
92	1496	14592
93	1512	14574
94	1529	14568
95	1547	14573
96	1566	14580
97	1583	14571
98	1602	14583
99	1619	14574
100	1634	14548
101	1651	14541
102	1667	14523
103	1682	14492
104	1696	14458
105	1710	14423
106	1725	14399
107	1746	14425
108	1758	14376
109	1776	14369
110	1792	14356
111	1807	14331
112	1822	14306
113	1837	14283
114	1852	14259
115	1868	14238
116	1883	14214
117	1897	14182
118	1912	14157
119	1927	14137
120	1942	14111
121	1957	14084
122	1971	14059
123	1986	14033
124	2002	14016
125	2017	13991
126	2034	13983
127	2050	13971
128	2066	13949
129	2083	13942
130	2102	13946
131	2119	13937
132	2137	13931
133	2153	13920
134	2167	13889
135	2184	13875
136	2200	13863
137	2217	13848
138	2233	13833
139	2247	13804
140	2262	13786
141	2278	13764
142	2291	13732
143	2306	13710
144	2321	13689
145	2334	13654
146	2348	13630
147	2363	13607
148	2378	13586
149	2393	13561
150	2407	13537
151	2423	13520
152	2439	13502
153	2453	13479
154	2469	13460
155	2482	13429
156	2498	13415
157	2513	13392
158	2529	13376
159	2544	13360
160	2559	13338
161	2574	13315
162	2586	13280
163	2600	13255
164	2617	13245
165	2634	13234
166	2651	13224
167	2666	13206
168	2678	13169
169	2690	13134
170	2703	13105
171	2721	13101
172	2738	13091
173	2754	13076
174	2770	13060
175	2787	13050
176	2805	13043
177	2821	13030
178	2855	13097
179	2870	13076
180	2884	13051
181	2897	13022
182	2915	13014
183	2936	13021
184	2952	13005
185	2971	13002
186	2983	12972
187	2999	12954
188	3018	12951
189	3031	12925
190	3044	12894
191	3058	12869
192	3070	12839
193	3082	12806
194	3097	12785
195	3107	12748
196	3119	12714
197	3132	12688
198	3148	12674
199	3161	12645
200	3176	12627
201	3188	12595
202	3201	12569
203	3216	12551
204	3231	12530
205	3246	12513
206	3257	12478
207	3269	12451
208	3294	12467
209	3309	12449
210	3321	12418
211	3334	12395
212	3345	12361
213	3361	12344
214	3373	12318
215	3386	12290
216	3397	12260
217	3409	12231
218	3421	12202
219	3436	12184
220	3450	12161
221	3464	12139
222	3478	12119
223	3491	12093
224	3504	12071
225	3515	12041
226	3527	12013
227	3539	11983
228	3554	11967
229	3567	11942
230	3581	11921
231	3595	11900
232	3613	11895
233	3640	11917
234	3652	11888
235	3666	11868
236	3680	11848
237	3693	11826
238	3706	11803
239	3720	11781
240	3733	11758
241	3746	11734
242	3758	11708
243	3770	11681
244	3783	11659
245	3795	11632
246	3807	11607
247	3818	11580
248	3833	11561
249	3846	11538
250	3857	11511
251	3870	11487
252	3882	11464
253	3896	11443
254	3909	11420
255	3922	11399
256	3933	11371
257	3945	11346
258	3956	11320
259	3969	11297
260	3983	11279
261	4010	11297
262	4026	11282
263	4039	11260
264	4051	11237
265	4064	11214
266	4078	11196
267	4091	11176
268	4109	11166
269	4130	11168
270	4147	11155
271	4167	11154
272	4179	11130
273	4191	11106
274	4206	11089
275	4217	11064
276	4229	11038
277	4241	11015
278	4253	10993
279	4266	10970
280	4278	10948
281	4299	10945
282	4310	10920
283	4321	10895
284	4334	10874
285	4345	10848
286	4358	10827
287	4372	10810
288	4385	10788
289	4401	10775
290	4413	10752
291	4424	10726
292	4435	10702
293	4447	10680
294	4459	10656
295	4474	10642
296	4487	10622
297	4499	10599
298	4511	10576
299	4526	10560
300	4537	10536
301	4548	10513
302	4560	10491
303	4573	10470
304	4587	10454
305	4603	10441
306	4616	10420
307	4631	10406
308	4649	10397
309	4667	10388
310	4678	10364
311	4689	10340
312	4700	10317
313	4713	10298
314	4730	10287
315	4746	10273
316	4758	10251
317	4770	10230
318	4787	10219
319	4802	10205
320	4815	10186
321	4829	10168
322	4844	10153
323	4859	10138
324	4873	10122
325	4887	10105
326	4900	10085
327	4913	10065
328	4925	10045
329	4936	10023
330	4951	10008
331	4966	9992
332	4980	9975
333	4993	9957
334	5005	9936
335	5017	9915
336	5029	9895
337	5044	9880
338	5056	9860
339	5071	9845
340	5083	9824
341	5095	9803
342	5106	9781
343	5122	9768
344	5133	9745
345	5145	9725
346	5157	9705
347	5169	9685
348	5181	9664
349	5197	9651
350	5215	9643
351	5228	9624
352	5240	9604
353	5250	9581
354	5263	9563
355	5281	9554
356	5295	9538
357	5309	9521
358	5325	9508
359	5337	9489
360	5348	9467
361	5360	9447
362	5373	9429
363	5386	9411
364	5397	9390
365	5409	9370
366	5421	9350
367	5432	9329
368	5444	9309
369	5462	9301
370	5474	9281
371	5485	9260
372	5497	9240
373	5510	9222
374	5522	9203
375	5538	9191
376	5553	9177
377	5564	9156
378	5581	9145
379	5593	9126
380	5611	9117
381	5625	9100
382	5644	9093
383	5657	9075
384	5675	9065
385	5689	9050
386	5699	9028
387	5712	9010
388	5723	8990
389	5736	8972
390	5748	8953
391	5758	8932
392	5774	8918
393	5787	8901
394	5800	8884
395	5816	8871
396	5832	8859
397	5847	8845
398	5859	8825
399	5875	8813
400	5892	8801
401	5905	8784
402	5918	8767
403	5935	8757
404	5948	8739
405	5961	8721
406	5972	8702
407	5986	8685
408	6000	8671
409	6012	8652
410	6024	8633
411	6036	8614
412	6051	8601
413	6064	8584
414	6076	8565
415	6090	8550
416	6102	8532
417	6113	8512
418	6129	8499
419	6142	8482
420	6158	8469
421	6170	8451
422	6184	8436
423	6197	8419
424	6209	8400
425	6220	8381
426	6235	8366
427	6246	8348
428	6263	8336
429	6274	8317
430	6286	8299
431	6299	8282
432	6314	8268
433	6331	8257
434	6343	8239
435	6356	8222
436	6370	8207
437	6386	8194
438	6401	8180
439	6416	8166
440	6431	8152
441	6446	8138
442	6462	8125
443	6481	8116
444	6495	8101
445	6511	8088
446	6526	8074
447	6541	8059
448	6553	8042
449	6567	8026
450	6583	8013
451	6598	7999
452	6614	7986
453	6628	7971
454	6639	7953
455	6651	7934
456	6662	7916
457	6674	7899
458	6686	7881
459	6699	7865
460	6712	7848
461	6724	7830
462	6738	7815
463	6750	7797
464	6767	7786
465	6781	7770
466	6794	7754
467	6807	7737
468	6818	7720
469	6829	7701
470	6842	7685
471	6855	7668
472	6867	7651
473	6878	7632
474	6892	7617
475	6904	7600
476	6914	7581
477	6926	7564
478	6939	7547
479	6951	7530
480	6962	7513
481	6975	7496
482	6988	7480
483	7000	7463
484	7012	7446
485	7024	7429
486	7037	7412
487	7049	7395
488	7062	7380
489	7074	7362
490	7086	7346
491	7098	7329
492	7111	7313
493	7123	7297
494	7136	7280
495	7147	7262
496	7158	7244
497	7169	7227
498	7180	7209
499	7191	7191
500	7202	7173
501	7213	7156
502	7225	7139
503	7236	7121
504	7248	7104
505	7258	7086
506	7269	7068
507	7280	7051
508	7291	7033
509	7303	7016
510	7314	6999
511	7326	6983
512	7342	6969
513	7354	6953
514	7365	6936
515	7376	6919
516	7389	6903
517	7399	6885
518	7409	6867
519	7421	6850
520	7433	6834
521	7445	6817
522	7456	6801
523	7467	6783
524	7478	6766
525	7492	6751
526	7507	6738
527	7519	6722
528	7531	6706
529	7543	6689
530	7554	6672
531	7567	6656
532	7580	6641
533	7592	6625
534	7604	6609
535	7617	6594
536	7629	6578
537	7640	6561
538	7651	6544
539	7664	6528
540	7676	6513
541	7687	6496
542	7700	6481
543	7712	6464
544	7723	6447
545	7736	6432
546	7748	6416
547	7759	6399
548	7771	6383
549	7782	6367
550	7795	6352
551	7806	6335
552	7818	6319
553	7830	6303
554	7841	6287
555	7852	6270
556	7864	6254
557	7875	6238
558	7886	6221
559	7899	6207
560	7911	6191
561	7923	6175
562	7934	6159
563	7946	6143
564	7958	6127
565	7970	6111
566	7982	6095
567	7995	6081
568	8008	6065
569	8019	6049
570	8031	6034
571	8042	6017
572	8053	6001
573	8065	5985
574	8077	5969
575	8088	5954
576	8099	5937
577	8110	5921
578	8123	5906
579	8135	5891
580	8147	5875
581	8160	5860
582	8171	5844
583	8182	5828
584	8193	5812
585	8204	5796
586	8221	5784
587	8238	5772
588	8249	5756
589	8266	5744
590	8281	5730
591	8301	5721
592	8319	5710
593	8341	5701
594	8352	5685
595	8369	5672
596	8380	5657
597	8392	5642
598	8404	5626
599	8421	5614
600	8432	5598
601	8448	5585
602	8465	5573
603	8480	5559
604	8497	5547
605	8508	5531
606	8524	5519
607	8548	5511
608	8569	5501
609	8587	5490
610	8606	5479
611	8622	5466
612	8633	5450
613	8643	5433
614	8659	5420
615	8677	5409
616	8695	5397
617	8708	5382
618	8723	5369
619	8739	5356
620	8751	5340
621	8768	5328
622	8783	5315
623	8798	5301
624	8813	5288
625	8829	5274
626	8840	5259
627	8856	5246
628	8873	5233
629	8889	5220
630	8903	5206
631	8916	5191
632	8929	5177
633	8946	5164
634	8964	5152
635	8979	5139
636	8997	5127
637	9009	5111
638	9025	5098
639	9037	5083
640	9052	5070
641	9069	5057
642	9086	5044
643	9102	5031
644	9115	5017
645	9130	5003
646	9145	4989
647	9161	4976
648	9177	4963
649	9194	4951
650	9209	4937
651	9220	4921
652	9236	4907
653	9251	4894
654	9266	4880
655	9282	4867
656	9299	4855
657	9316	4842
658	9332	4828
659	9346	4814
660	9357	4799
661	9373	4785
662	9394	4774
663	9417	4765
664	9432	4751
665	9448	4738
666	9463	4724
667	9475	4709
668	9486	4693
669	9510	4684
670	9531	4673
671	9547	4659
672	9564	4647
673	9580	4633
674	9595	4620
675	9608	4605
676	9626	4592
677	9644	4580
678	9660	4566
679	9672	4551
680	9690	4539
681	9702	4523
682	9727	4514
683	9740	4499
684	9757	4486
685	9771	4472
686	9786	4458
687	9802	4445
688	9817	4431
689	9832	4417
690	9844	4402
691	9860	4388
692	9876	4375
693	9888	4360
694	9904	4346
695	9920	4332
696	9935	4318
697	9951	4305
698	9967	4292
699	9984	4279
700	10000	4265
701	10015	4251
702	10037	4240
703	10056	4228
704	10072	4214
705	10087	4200
706	10102	4186
707	10113	4171
708	10129	4157
709	10147	4144
710	10161	4130
711	10177	4116
712	10189	4101
713	10205	4088
714	10222	4074
715	10236	4060
716	10248	4045
717	10264	4031
718	10280	4017
719	10297	4004
720	10311	3990
721	10322	3974
722	10334	3959
723	10351	3946
724	10368	3932
725	10384	3919
726	10394	3903
727	10410	3889
728	10423	3875
729	10435	3859
730	10449	3845
731	10465	3831
732	10483	3818
733	10510	3808
734	10525	3795
735	10543	3781
736	10556	3767
737	10570	3752
738	10581	3737
739	10596	3723
740	10611	3708
741	10624	3694
742	10637	3679
743	10653	3665
744	10669	3651
745	10681	3636
746	10694	3622
747	10709	3608
748	10721	3592
749	10739	3579
750	10754	3565
751	10771	3552
752	10783	3537
753	10802	3524
754	10813	3509
755	10829	3495
756	10844	3481
757	10855	3465
758	10870	3451
759	10886	3437
760	10898	3422
761	10914	3409
762	10925	3393
763	10941	3379
764	10955	3365
765	10970	3351
766	10985	3337
767	10997	3322
768	11013	3308
769	11029	3294
770	11040	3279
771	11051	3263
772	11062	3248
773	11073	3233
774	11087	3218
775	11100	3204
776	11113	3189
777	11128	3175
778	11145	3161
779	11160	3147
780	11175	3133
781	11187	3118
782	11197	3103
783	11213	3089
784	11229	3075
785	11240	3060
786	11251	3045
787	11266	3031
788	11281	3017
789	11296	3002
790	11307	2987
791	11320	2972
792	11335	2958
793	11346	2943
794	11356	2928
795	11370	2914
796	11385	2899
797	11399	2885
798	11415	2871
799	11432	2858
800	11448	2844
801	11464	2830
802	11479	2816
803	11495	2802
804	11508	2787
805	11520	2772
806	11535	2758
807	11554	2745
808	11567	2730
809	11580	2716
810	11591	2701
811	11606	2687
812	11619	2672
813	11636	2658
814	11648	2644
815	11665	2630
816	11680	2616
817	11696	2602
818	11715	2589
819	11727	2574
820	11739	2559
821	11757	2546
822	11777	2532
823	11793	2519
824	11809	2505
825	11825	2491
826	11836	2476
827	11849	2461
828	11867	2447
829	11882	2433
830	11897	2419
831	11914	2405
832	11925	2390
833	11941	2376
834	11961	2363
835	11981	2350
836	11997	2336
837	12010	2321
838	12026	2307
839	12037	2292
840	12053	2278
841	12069	2264
842	12085	2250
843	12096	2235
844	12109	2221
845	12121	2206
846	12136	2192
847	12151	2178
848	12168	2164
849	12183	2150
850	12195	2135
851	12208	2120
852	12219	2105
853	12231	2091
854	12242	2076
855	12255	2061
856	12267	2046
857	12279	2032
858	12294	2018
859	12310	2004
860	12325	1989
861	12342	1975
862	12355	1961
863	12367	1946
864	12378	1931
865	12392	1917
866	12408	1903
867	12425	1889
868	12441	1875
869	12457	1861
870	12473	1847
871	12490	1833
872	12502	1818
873	12518	1804
874	12533	1790
875	12549	1776
876	12562	1761
877	12573	1747
878	12586	1732
879	12597	1717
880	12610	1703
881	12625	1689
882	12641	1675
883	12657	1660
884	12674	1646
885	12690	1632
886	12702	1618
887	12718	1604
888	12732	1589
889	12748	1575
890	12765	1561
891	12780	1547
892	12793	1532
893	12805	1518
894	12818	1503
895	12833	1489
896	12849	1475
897	12864	1461
898	12882	1447
899	12903	1433
900	12918	1419
901	12933	1405
902	12944	1390
903	12958	1376
904	12969	1361
905	12983	1347
906	13001	1333
907	13017	1318
908	13030	1304
909	13043	1289
910	13055	1275
911	13068	1260
912	13083	1246
913	13095	1232
914	13114	1218
915	13126	1203
916	13139	1189
917	13157	1175
918	13173	1161
919	13189	1146
920	13204	1132
921	13220	1118
922	13236	1104
923	13247	1089
924	13259	1075
925	13275	1060
926	13291	1046
927	13303	1032
928	13315	1017
929	13331	1003
930	13346	989
931	13363	975
932	13379	960
933	13392	946
934	13407	932
935	13420	917
936	13437	903
937	13456	889
938	13470	875
939	13486	860
940	13502	846
941	13515	832
942	13529	817
943	13545	803
944	13563	789
945	13577	775
946	13595	760
947	13617	746
948	13629	732
949	13644	718
950	13662	703
951	13674	689
952	13687	675
953	13700	660
954	13714	646
955	13735	632
956	13749	617
957	13772	603
958	13787	589
959	13804	575
960	13822	560
961	13840	546
962	13854	532
963	13871	518
964	13885	503
965	13903	489
966	13918	474
967	13935	460
968	13951	446
969	13969	432
970	13985	417
971	13999	403
972	14017	388
973	14030	374
974	14041	360
975	14053	345
976	14069	331
977	14085	316
978	14096	302
979	14108	287
980	14121	273
981	14136	259
982	14148	244
983	14159	230
984	14171	215
985	14196	201
986	14214	187
987	14226	172
988	14241	158
989	14253	143
990	14265	129
991	14278	115
992	14289	100
993	14302	86
994	14317	71
995	14329	57
996	14342	43
997	14359	28
998	14370	14
999	14383	0
