,Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
arima,ARIMA,2.5704,2.2469,12.3187,14.9158,0.1483,0.1608,-1.5925,1.526
auto_arima,Auto ARIMA,2.6933,2.2885,12.9996,15.2585,0.1555,0.1646,-1.6905,48.418
naive,Naive Forecaster,2.7652,2.3435,13.3802,15.6526,0.1597,0.1678,-1.8269,0.134
exp_smooth,Exponential Smoothing,2.7668,2.295,13.4381,15.3504,0.1624,0.1624,-2.0723,0.528
ada_cds_dt,AdaBoost w/ Cond. Deseasonalize & Detrending,2.811,2.4538,13.6242,16.43,0.1647,0.1763,-1.9369,11.042
lightgbm_cds_dt,Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,2.8182,2.4545,13.681,16.4412,0.1638,0.1724,-1.9063,14.088
rf_cds_dt,Random Forest w/ Cond. Deseasonalize & Detrending,2.845,2.4746,13.8251,16.5991,0.1665,0.1755,-2.0384,17.638
snaive,Seasonal Naive Forecaster,2.8716,2.4337,14.0805,16.4017,0.1657,0.1654,-2.1453,0.226
dt_cds_dt,Decision Tree w/ Cond. Deseasonalize & Detrending,2.8787,2.4388,14.0225,16.3412,0.1736,0.1736,-2.3338,9.026
ets,ETS,2.9686,2.4575,14.3804,16.4129,0.1748,0.1788,-3.0435,0.954
xgboost_cds_dt,Extreme Gradient Boosting w/ Cond. Deseasonalize & Detrending,3.2618,2.7469,15.7911,18.3927,0.1928,0.2069,-3.5425,13.888
br_cds_dt,Bayesian Ridge w/ Cond. Deseasonalize & Detrending,3.7242,3.1322,17.5855,20.548,0.2114,0.2562,-6.2632,8.786
omp_cds_dt,Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,3.7375,3.1401,17.6368,20.5907,0.2122,0.2582,-6.4151,8.884
gbr_cds_dt,Gradient Boosting w/ Cond. Deseasonalize & Detrending,5.0156,4.0045,23.9308,26.574,0.3038,0.44,-21.5395,10.392
